Time [s]	Biesel [m]	Stokes II 	Cnoidal
0.000000	0.059101	0.056629	0.010420
0.100000	0.071207	0.075736	0.029058
0.200000	0.080577	0.091417	0.046418
0.300000	0.086850	0.102351	0.061252
0.400000	0.089786	0.107588	0.072344
0.500000	0.089271	0.106664	0.078698
0.600000	0.085326	0.099662	0.079706
0.700000	0.078101	0.087198	0.075272
0.800000	0.067875	0.070347	0.065823
0.900000	0.055041	0.050512	0.052231
1.000000	0.040091	0.029251	0.035652
1.100000	0.023601	0.008100	0.017344
1.200000	0.006204	-0.011598	-0.001507
1.300000	-0.011432	-0.028825	-0.019894
1.400000	-0.028628	-0.042964	-0.037052
1.500000	-0.044724	-0.053820	-0.052460
1.600000	-0.059101	-0.061573	-0.065809
1.700000	-0.071207	-0.066679	-0.076953
1.800000	-0.080577	-0.069737	-0.085858
1.900000	-0.086850	-0.071349	-0.092553
2.000000	-0.089786	-0.071984	-0.097095
2.100000	-0.089271	-0.071878	-0.099538
2.200000	-0.085326	-0.070989	-0.099915
2.300000	-0.078101	-0.069005	-0.098234
2.400000	-0.067875	-0.065403	-0.094470
2.500000	-0.055041	-0.059570	-0.088573
2.600000	-0.040091	-0.050931	-0.080486
2.700000	-0.023601	-0.039102	-0.070165
2.800000	-0.006204	-0.024006	-0.057616
2.900000	0.011432	-0.005962	-0.042939
3.000000	0.028628	0.014292	-0.026375
3.100000	0.044724	0.035627	-0.008364
3.200000	0.059101	0.056629	0.010420
3.300000	0.071207	0.075736	0.029058
3.400000	0.080577	0.091417	0.046418
3.500000	0.086850	0.102351	0.061252
3.600000	0.089786	0.107588	0.072344
3.700000	0.089271	0.106664	0.078698
3.800000	0.085326	0.099662	0.079706
3.900000	0.078101	0.087198	0.075272
4.000000	0.067875	0.070347	0.065823
4.100000	0.055041	0.050512	0.052231
4.200000	0.040091	0.029251	0.035652
4.300000	0.023601	0.008100	0.017344
4.400000	0.006204	-0.011598	-0.001507
4.500000	-0.011432	-0.028825	-0.019894
4.600000	-0.028628	-0.042964	-0.037052
4.700000	-0.044724	-0.053820	-0.052460
4.800000	-0.059101	-0.061573	-0.065809
4.900000	-0.071207	-0.066679	-0.076953
5.000000	-0.080577	-0.069737	-0.085858
5.100000	-0.086850	-0.071349	-0.092553
5.200000	-0.089786	-0.071984	-0.097095
5.300000	-0.089271	-0.071878	-0.099538
5.400000	-0.085326	-0.070989	-0.099915
5.500000	-0.078101	-0.069005	-0.098234
5.600000	-0.067875	-0.065403	-0.094470
5.700000	-0.055041	-0.059570	-0.088573
5.800000	-0.040091	-0.050931	-0.080486
5.900000	-0.023601	-0.039102	-0.070165
6.000000	-0.006204	-0.024006	-0.057616
6.100000	0.011432	-0.005962	-0.042939
6.200000	0.028628	0.014292	-0.026375
6.300000	0.044724	0.035627	-0.008364
6.400000	0.059101	0.056629	0.010420
6.500000	0.071207	0.075736	0.029058
6.600000	0.080577	0.091417	0.046418
6.700000	0.086850	0.102351	0.061252
6.800000	0.089786	0.107588	0.072344
6.900000	0.089271	0.106664	0.078698
7.000000	0.085326	0.099662	0.079706
7.100000	0.078101	0.087198	0.075272
7.200000	0.067875	0.070347	0.065823
7.300000	0.055041	0.050512	0.052231
7.400000	0.040091	0.029251	0.035652
7.500000	0.023601	0.008100	0.017344
7.600000	0.006204	-0.011598	-0.001507
7.700000	-0.011432	-0.028825	-0.019894
7.800000	-0.028628	-0.042964	-0.037052
7.900000	-0.044724	-0.053820	-0.052460
8.000000	-0.059101	-0.061573	-0.065809
8.100000	-0.071207	-0.066679	-0.076953
8.200000	-0.080577	-0.069737	-0.085858
8.300000	-0.086850	-0.071349	-0.092553
8.400000	-0.089786	-0.071984	-0.097095
8.500000	-0.089271	-0.071878	-0.099538
8.600000	-0.085326	-0.070989	-0.099915
8.700000	-0.078101	-0.069005	-0.098234
8.800000	-0.067875	-0.065403	-0.094470
8.900000	-0.055041	-0.059570	-0.088573
9.000000	-0.040091	-0.050931	-0.080486
9.100000	-0.023601	-0.039102	-0.070165
9.200000	-0.006204	-0.024006	-0.057616
9.300000	0.011432	-0.005962	-0.042939
9.400000	0.028628	0.014292	-0.026375
9.500000	0.044724	0.035627	-0.008364
9.600000	0.059101	0.056629	0.010420
9.700000	0.071207	0.075736	0.029058
9.800000	0.080577	0.091417	0.046418
9.900000	0.086850	0.102351	0.061252
10.000000	0.089786	0.107588	0.072344
10.100000	0.089271	0.106664	0.078698
10.200000	0.085326	0.099662	0.079706
10.300000	0.078101	0.087198	0.075272
10.400000	0.067875	0.070347	0.065823
10.500000	0.055041	0.050512	0.052231
10.600000	0.040091	0.029251	0.035652
10.700000	0.023601	0.008100	0.017344
10.800000	0.006204	-0.011598	-0.001507
10.900000	-0.011432	-0.028825	-0.019894
11.000000	-0.028628	-0.042964	-0.037052
11.100000	-0.044724	-0.053820	-0.052460
11.200000	-0.059101	-0.061573	-0.065809
11.300000	-0.071207	-0.066679	-0.076953
11.400000	-0.080577	-0.069737	-0.085858
11.500000	-0.086850	-0.071349	-0.092553
11.600000	-0.089786	-0.071984	-0.097095
11.700000	-0.089271	-0.071878	-0.099538
11.800000	-0.085326	-0.070989	-0.099915
11.900000	-0.078101	-0.069005	-0.098234
12.000000	-0.067875	-0.065403	-0.094470
12.100000	-0.055041	-0.059570	-0.088573
12.200000	-0.040091	-0.050931	-0.080486
12.300000	-0.023601	-0.039102	-0.070165
12.400000	-0.006204	-0.024006	-0.057616
12.500000	0.011432	-0.005962	-0.042939
12.600000	0.028628	0.014292	-0.026375
12.700000	0.044724	0.035627	-0.008364
12.800000	0.059101	0.056629	0.010420
12.900000	0.071207	0.075736	0.029058
13.000000	0.080577	0.091417	0.046418
13.100000	0.086850	0.102351	0.061252
13.200000	0.089786	0.107588	0.072344
13.300000	0.089271	0.106664	0.078698
13.400000	0.085326	0.099662	0.079706
13.500000	0.078101	0.087198	0.075272
13.600000	0.067875	0.070347	0.065823
13.700000	0.055041	0.050512	0.052231
13.800000	0.040091	0.029251	0.035652
13.900000	0.023601	0.008100	0.017344
14.000000	0.006204	-0.011598	-0.001507
14.100000	-0.011432	-0.028825	-0.019894
14.200000	-0.028628	-0.042964	-0.037052
14.300000	-0.044724	-0.053820	-0.052460
14.400000	-0.059101	-0.061573	-0.065809
14.500000	-0.071207	-0.066679	-0.076953
14.600000	-0.080577	-0.069737	-0.085858
14.700000	-0.086850	-0.071349	-0.092553
14.800000	-0.089786	-0.071984	-0.097095
14.900000	-0.089271	-0.071878	-0.099538
15.000000	-0.085326	-0.070989	-0.099915
15.100000	-0.078101	-0.069005	-0.098234
15.200000	-0.067875	-0.065403	-0.094470
15.300000	-0.055041	-0.059570	-0.088573
