Time [s]	Biesel [m]	Stokes II 	StokesIII	Cnoidal
0.000000	-0.073596	-0.015416	0.284441	-0.019332
0.100000	-0.068985	-0.025495	1.117873	-0.007690
0.200000	-0.061359	-0.040078	1.548877	0.009971
0.300000	-0.051052	-0.055659	1.083834	0.034647
0.400000	-0.038513	-0.068213	0.099954	0.064728
0.500000	-0.024291	-0.073948	-0.532980	0.093776
0.600000	-0.009007	-0.070035	-0.323307	0.111211
0.700000	0.006670	-0.055176	0.352719	0.108744
0.800000	0.022056	-0.029915	0.634435	0.087634
0.900000	0.036478	0.003368	0.050612	0.057491
1.000000	0.049306	0.040783	-0.992656	0.028295
1.100000	0.059978	0.077515	-1.602616	0.005244
1.200000	0.068030	0.108595	-1.283057	-0.010878
1.300000	0.073108	0.129687	-0.428917	-0.021359
1.400000	0.074991	0.137800	0.064049	-0.027880
1.500000	0.073596	0.131776	-0.311217	-0.031832
1.600000	0.068985	0.112476	-1.169086	-0.034188
1.700000	0.061359	0.082641	-1.614557	-0.035578
1.800000	0.051052	0.046444	-1.132225	-0.036387
1.900000	0.038513	0.008813	-0.096498	-0.036848
2.000000	0.024291	-0.025366	0.602331	-0.037093
2.100000	0.009007	-0.052021	0.439974	-0.037194
2.200000	-0.006670	-0.068517	-0.232372	-0.037181
2.300000	-0.022056	-0.074027	-0.556030	-0.037050
2.400000	-0.036478	-0.069588	-0.037447	-0.036763
2.500000	-0.049306	-0.057829	0.950081	-0.036236
2.600000	-0.059978	-0.042441	1.537161	-0.035317
2.700000	-0.068030	-0.027465	1.228391	-0.033744
2.800000	-0.073108	-0.016529	0.398902	-0.031084
2.900000	-0.074991	-0.012181	-0.080670	-0.026635
3.000000	-0.073596	-0.015416	0.284441	-0.019332
3.100000	-0.068985	-0.025495	1.117873	-0.007690
3.200000	-0.061359	-0.040078	1.548877	0.009971
3.300000	-0.051052	-0.055659	1.083834	0.034647
3.400000	-0.038513	-0.068213	0.099954	0.064728
3.500000	-0.024291	-0.073948	-0.532980	0.093776
3.600000	-0.009007	-0.070035	-0.323307	0.111211
3.700000	0.006670	-0.055176	0.352719	0.108744
3.800000	0.022056	-0.029915	0.634435	0.087634
3.900000	0.036478	0.003368	0.050612	0.057491
4.000000	0.049306	0.040783	-0.992656	0.028295
4.100000	0.059978	0.077515	-1.602616	0.005244
4.200000	0.068030	0.108595	-1.283057	-0.010878
4.300000	0.073108	0.129687	-0.428917	-0.021359
4.400000	0.074991	0.137800	0.064049	-0.027880
4.500000	0.073596	0.131776	-0.311217	-0.031832
4.600000	0.068985	0.112476	-1.169086	-0.034188
4.700000	0.061359	0.082641	-1.614557	-0.035578
4.800000	0.051052	0.046444	-1.132225	-0.036387
4.900000	0.038513	0.008813	-0.096498	-0.036848
5.000000	0.024291	-0.025366	0.602331	-0.037093
5.100000	0.009007	-0.052021	0.439974	-0.037194
